CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
64a3fa2ecd43,nice_wilbur,0.38%,4.195MiB,/,256MiB,1.64%
64a3fa2ecd43,nice_wilbur,30.42%,8.57MiB,/,256MiB,3.35%
64a3fa2ecd43,nice_wilbur,21.81%,8.656MiB,/,256MiB,3.38%
64a3fa2ecd43,nice_wilbur,6.91%,8.922MiB,/,256MiB,3.49%
64a3fa2ecd43,nice_wilbur,7.19%,8.992MiB,/,256MiB,3.51%
64a3fa2ecd43,nice_wilbur,7.16%,9.355MiB,/,256MiB,3.65%
64a3fa2ecd43,nice_wilbur,2.94%,9.078MiB,/,256MiB,3.55%
64a3fa2ecd43,nice_wilbur,7.90%,9.176MiB,/,256MiB,3.58%
64a3fa2ecd43,nice_wilbur,13.83%,10.46MiB,/,256MiB,4.08%
64a3fa2ecd43,nice_wilbur,98.10%,52.16MiB,/,256MiB,20.38%
64a3fa2ecd43,nice_wilbur,11.66%,116MiB,/,256MiB,45.33%
64a3fa2ecd43,nice_wilbur,14.92%,133.4MiB,/,256MiB,52.10%
